Sample_ID,library_ID,F_Nextera_BC,R_Nextera_BC,F_file,R_file
0,library0,Nextera_index_D501,Nextera_index_D701,DJ-Pbs2-0_S1_L001_R1_001.fastq.gz,DJ-Pbs2-0_S1_L001_R2_001.fastq.gz
1,library1,Nextera_index_D501,Nextera_index_D702,DJ-Pbs2-1_S2_L001_R1_001.fastq.gz,DJ-Pbs2-1_S2_L001_R2_001.fastq.gz
2,library2,Nextera_index_D501,Nextera_index_D703,DJ-Pbs2-2_S3_L001_R1_001.fastq.gz,DJ-Pbs2-2_S3_L001_R2_001.fastq.gz
3,library3,Nextera_index_D502,Nextera_index_D704,DJ-Pbs2-3_S4_L001_R1_001.fastq.gz,DJ-Pbs2-3_S4_L001_R2_001.fastq.gz
4,library4,Nextera_index_D502,Nextera_index_D705,DJ-Pbs2-4_S5_L001_R1_001.fastq.gz,DJ-Pbs2-4_S5_L001_R2_001.fastq.gz
5,library5,Nextera_index_D502,Nextera_index_D706,DJ-Pbs2-5_S6_L001_R1_001.fastq.gz,DJ-Pbs2-5_S6_L001_R2_001.fastq.gz
6,library6,Nextera_index_D503,Nextera_index_D707,DJ-Pbs2-6_S7_L001_R1_001.fastq.gz,DJ-Pbs2-6_S7_L001_R2_001.fastq.gz
7,library7,Nextera_index_D503,Nextera_index_D708,DJ-Pbs2-7_S8_L001_R1_001.fastq.gz,DJ-Pbs2-7_S8_L001_R2_001.fastq.gz
8,library8,Nextera_index_D503,Nextera_index_D709,DJ-Pbs2-8_S9_L001_R1_001.fastq.gz,DJ-Pbs2-8_S9_L001_R2_001.fastq.gz
9,library9,Nextera_index_D504,Nextera_index_D710,DJ-Pbs2-9_S10_L001_R1_001.fastq.gz,DJ-Pbs2-9_S10_L001_R2_001.fastq.gz
10,library10,Nextera_index_D504,Nextera_index_D711,DJ-Pbs2-10_S11_L001_R1_001.fastq.gz,DJ-Pbs2-10_S11_L001_R2_001.fastq.gz
11,library11,Nextera_index_D504,Nextera_index_D712,DJ-Pbs2-11_S12_L001_R1_001.fastq.gz,DJ-Pbs2-11_S12_L001_R2_001.fastq.gz
